Seed,Feature_Type,Label,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_Input_Error,Cosine_Sim_Input_Combined,Cosine_Sim_Error_Combined,Top_k_Indices
24,sae_acts_post,target,0.015492066714553816,1.0,1.0,1.9475672821722463,0.672,0.724048,4.607333660125732,,,,
24,sae_acts_and_error,target,0.011447167166987564,1.0,1.0,1.4034224048594832,0.698,0.7381759999999999,2.936530351638794,0.5421680212020874,0.541938304901123,0.9996193051338196,"[9666, 3935, 13003]"
25,sae_input,target,0.008034320538513605,1.0,1.0,1.7099919039132632,0.694,0.7717175596952819,2.50614857673645,0.502040684223175,0.5036811232566833,0.9975337386131287,
25,sae_diff,target,0.011054995439014673,1.0,1.0,1.512697548089846,0.658,0.7311151654823634,2.8935956954956055,0.502040684223175,0.5036811232566833,0.9975337386131287,
25,sae_acts_post,target,0.015493471410577967,1.0,1.0,1.9682403287435124,0.672,0.7075571346264644,4.503573894500732,,,,
25,sae_acts_and_error,target,0.01100145642008935,1.0,1.0,1.5045879996673652,0.662,0.7331956980987132,2.886845827102661,0.502040684223175,0.5036811232566833,0.9975337386131287,"[15077, 3935, 4946]"
26,sae_input,target,0.007533193984189378,1.0,1.0,1.906300273997101,0.694,0.7370948379351743,2.442338705062866,0.4989253282546997,0.49854597449302673,0.9995788335800171,
26,sae_diff,target,0.011127143541683619,1.0,1.0,1.6272103189530431,0.68,0.7156942777110844,2.896132469177246,0.4989253282546997,0.49854597449302673,0.9995788335800171,
26,sae_acts_post,target,0.015005133440374022,1.0,1.0,2.1755623168702543,0.68,0.7084913965586235,4.51275634765625,,,,
26,sae_acts_and_error,target,0.011111059565414303,1.0,1.0,1.6279498900824405,0.68,0.7153101240496198,2.8946876525878906,0.4989253282546997,0.49854597449302673,0.9995788335800171,"[3935, 15943, 690]"
27,sae_input,target,0.008180625369984587,1.0,0.9999999999999999,1.765502829466064,0.732,0.7776811594202898,2.530038595199585,0.5145410299301147,0.5176081657409668,0.998484194278717,
27,sae_diff,target,0.011724479918115899,1.0,1.0,1.2959671364997876,0.694,0.7614009661835749,2.9663777351379395,0.5145410299301147,0.5176081657409668,0.998484194278717,
27,sae_acts_post,target,0.015591276597003429,1.0,1.0,1.8237835250999714,0.7,0.7390338164251207,4.460299015045166,,,,
27,sae_acts_and_error,target,0.01172646105149697,1.0,0.9999999999999999,1.2937457321250139,0.704,0.7614653784219,2.96624493598938,0.5145410299301147,0.5176081657409668,0.998484194278717,"[14132, 3029, 2331]"
28,sae_input,target,0.007562636249898383,1.0,1.0,1.7214861551830136,0.718,0.7575845085110138,2.448763608932495,0.536223292350769,0.5383102893829346,0.9984009861946106,
28,sae_diff,target,0.010252204234872126,1.0,0.9999999999999999,1.486951980375345,0.702,0.741428823538849,2.826059579849243,0.536223292350769,0.5383102893829346,0.9984009861946106,
28,sae_acts_post,target,0.014927961410303397,1.0,1.0,1.6484318956532156,0.708,0.7558839100928912,4.356611728668213,,,,
28,sae_acts_and_error,target,0.010293745911560723,1.0,1.0,1.4793909419832345,0.706,0.7416534308770917,2.8299691677093506,0.536223292350769,0.5383102893829346,0.9984009861946106,"[14132, 3935, 10744]"
29,sae_input,target,0.008323505863357904,1.0,1.0,1.7529493966054603,0.704,0.7569711538461538,2.54264497756958,0.5299072861671448,0.5319398641586304,0.9988442063331604,
29,sae_diff,target,0.01103745151595318,1.0,1.0,1.5054951752679662,0.688,0.74875,2.8945088386535645,0.5299072861671448,0.5319398641586304,0.9988442063331604,
29,sae_acts_post,target,0.015019326660390514,1.0,1.0,1.9319938658964768,0.68,0.7265384615384615,4.538712978363037,,,,
29,sae_acts_and_error,target,0.011021571722309706,1.0,1.0,1.505812362199592,0.688,0.7490224358974359,2.8930370807647705,0.5299072861671448,0.5319398641586304,0.9988442063331604,"[9666, 14132, 7985]"
30,sae_input,target,0.008539856314087131,1.0,1.0,1.5826283276276616,0.734,0.7838695714904055,2.5686638355255127,0.5306766629219055,0.5312356948852539,0.9986369609832764,
30,sae_diff,target,0.011550411057770042,1.0,0.9999999999999999,1.3970997317377545,0.71,0.7549656134275959,2.9468138217926025,0.5306766629219055,0.5312356948852539,0.9986369609832764,
30,sae_acts_post,target,0.015820048497758733,1.0,1.0,1.7389042484729307,0.702,0.7427018708219111,4.597789287567139,,,,
30,sae_acts_and_error,target,0.011526083901184972,1.0,1.0,1.4063489436327201,0.712,0.7515830648134789,2.944791793823242,0.5306766629219055,0.5312356948852539,0.9986369609832764,"[3935, 10639, 5894]"
31,sae_input,target,0.007783477261989854,1.0,1.0,1.9210337730116143,0.696,0.7345590117767538,2.4684009552001953,0.5228648781776428,0.5263338088989258,0.9984078407287598,
31,sae_diff,target,0.01071966571043222,1.0,1.0,1.5045546907855778,0.678,0.7368631592421916,2.859067440032959,0.5228648781776428,0.5263338088989258,0.9984078407287598,
31,sae_acts_post,target,0.014941192712925972,1.0,1.0,1.7685530260091118,0.682,0.7365591397849462,4.391451358795166,,,,
31,sae_acts_and_error,target,0.01073625858488323,1.0,1.0,1.5060285578329704,0.676,0.7377112135176651,2.86028790473938,0.5228648781776428,0.5263338088989258,0.9984078407287598,"[14132, 15077, 11456]"
32,sae_input,target,0.008122752309370714,1.0,1.0,1.5754380652230153,0.712,0.7761910860655737,2.5274627208709717,0.5087382793426514,0.5087785720825195,0.9995925426483154,
32,sae_diff,target,0.011902799800738962,1.0,0.9999999999999999,1.3329438231284763,0.698,0.7569319928278688,2.978161096572876,0.5087382793426514,0.5087785720825195,0.9995925426483154,
32,sae_acts_post,target,0.01593971273504382,1.0,1.0,1.651462704399944,0.688,0.727843237704918,4.410520553588867,,,,
32,sae_acts_and_error,target,0.011890041804466237,1.0,1.0,1.3309709785528516,0.702,0.7571881403688525,2.97729754447937,0.5087382793426514,0.5087785720825195,0.9995925426483154,"[3935, 13716, 11085]"
33,sae_input,target,0.007782198830401849,1.0,1.0,1.7802390864895397,0.706,0.7586731637823575,2.480111598968506,0.5128244757652283,0.5135684013366699,0.9993035793304443,
33,sae_diff,target,0.011704558770659883,1.0,1.0,1.3046241723422332,0.722,0.7753962215279016,2.9590344429016113,0.5128244757652283,0.5135684013366699,0.9993035793304443,
