Seed,Feature_Type,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_Input_Error,Cosine_Sim_Input_Combined,Cosine_Sim_Error_Combined,Top_k_Indices
46,sae_acts_and_error,0.011416800805311858,1.0,1.0,1.3821449593017823,0.714,0.7682682922926767,2.933429718017578,0.5410088300704956,0.5442830324172974,0.9979932904243469,"[3935, 10281, 14132, 1360, 7985, 6373]"
47,sae_input,0.007939123768297935,1.0,0.9999999999999999,1.8450262373841255,0.706,0.7362500200028805,2.4989278316497803,0.5302788019180298,0.5312045216560364,0.9978470802307129,
47,sae_diff,0.010800679905772475,1.0,1.0,1.6351496240129542,0.664,0.7212238562352979,2.8781449794769287,0.5302788019180298,0.5312045216560364,0.9978470802307129,
47,sae_acts_post,0.06286034296741184,1.0,1.0,1.1653214767091677,0.682,0.7326014946152246,2.5937700271606445,,,,
47,sae_acts_and_error,0.01074845020500295,1.0,1.0,1.635809075293876,0.666,0.721575906930598,2.8732078075408936,0.5302788019180298,0.5312045216560364,0.9978470802307129,"[14132, 10281, 10709, 3935, 15935, 11456]"
48,sae_input,0.008013063180440406,1.0,1.0,1.6436307993419967,0.736,0.7830608734789667,2.508220911026001,0.5291919708251953,0.5342857241630554,0.9979717135429382,
48,sae_diff,0.0112161472733207,1.0,1.0,1.4181789100897715,0.698,0.7489350757904552,2.91682505607605,0.5291919708251953,0.5342857241630554,0.9979717135429382,
48,sae_acts_post,0.06340463896039668,0.999,0.9999989997109164,1.1719153701917626,0.7,0.7524071305717638,2.6408417224884033,,,,
48,sae_acts_and_error,0.011265997377330368,1.0,1.0,1.421558212386632,0.702,0.7474240889874781,2.9208240509033203,0.5291919708251953,0.5342857241630554,0.9979717135429382,"[14132, 9666, 15077, 15935, 13003, 10281]"
49,sae_input,0.007974385809809054,1.0,0.9999999999999999,1.7467575884639865,0.714,0.7725369398854502,2.5023555755615234,0.5114541053771973,0.5135652422904968,0.998470664024353,
49,sae_diff,0.011537549477650259,1.0,1.0,1.458476819216714,0.668,0.7306155845405978,2.942941904067993,0.5114541053771973,0.5135652422904968,0.998470664024353,
49,sae_acts_post,0.06391276292381458,0.9985,0.9999889981406858,1.266068530805037,0.676,0.7329258314482359,2.553990602493286,,,,
49,sae_acts_and_error,0.011560838453869828,1.0,1.0,1.476368847666816,0.666,0.7264603487831095,2.944444179534912,0.5114541053771973,0.5135652422904968,0.998470664024353,"[14132, 15077, 6373, 14022, 7514, 6112]"
50,sae_input,0.007785433858747102,1.0,0.9999999999999999,1.534253861354975,0.724,0.7759294871794873,2.479276418685913,0.5270985960960388,0.5306057929992676,0.9975129961967468,
50,sae_diff,0.01106257181760839,1.0,0.9999999999999999,1.458242781193458,0.682,0.7458493589743589,2.9025518894195557,0.5270985960960388,0.5306057929992676,0.9975129961967468,
50,sae_acts_post,0.0633727746073326,0.999,0.9999989998999901,1.107855527697763,0.704,0.7585416666666666,2.5749287605285645,,,,
